status,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,airline.name,temperature_2m,precipitation,rain,snowfall,weather_code,cloud_cover,wind_speed_10m,wind_gusts_10m,pressure_msl,surface_pressure,relative_humidity_2m,wind_direction_10m
active,13.0,2023-12-01 00:15:00,2023-12-01 00:15:00,2023-12-01 00:28:00,air canada,4.8,0.2,0.2,0.0,51,100,8.4,14.0,1008.5,999.5,78,97
active,13.0,2023-12-01 00:15:00,2023-12-01 00:15:00,2023-12-01 00:28:00,singapore airlines,4.8,0.2,0.2,0.0,51,100,8.4,14.0,1008.5,999.5,78,97
active,13.0,2023-12-01 00:15:00,2023-12-01 00:15:00,2023-12-01 00:28:00,thai airways international,4.8,0.2,0.2,0.0,51,100,8.4,14.0,1008.5,999.5,78,97
active,13.0,2023-12-01 00:15:00,2023-12-01 00:15:00,2023-12-01 00:28:00,eva air,4.8,0.2,0.2,0.0,51,100,8.4,14.0,1008.5,999.5,78,97
active,19.0,2023-12-01 00:30:00,2023-12-01 00:33:00,2023-12-01 00:48:00,lynx air,4.8,0.2,0.2,0.0,51,100,8.4,14.0,1008.5,999.5,78,97
active,17.0,2023-12-01 00:35:00,2023-12-01 00:35:00,2023-12-01 00:52:00,china airlines,4.8,0.2,0.2,0.0,51,100,8.4,14.0,1008.5,999.5,78,97
active,9.0,2023-12-01 01:00:00,2023-12-01 00:47:00,2023-12-01 01:08:00,cargojet,4.2,0.3,0.3,0.0,51,100,10.8,17.3,1008.7,999.7,84,105
active,0.0,2023-12-01 05:00:00,2023-12-01 05:00:00,2023-12-01 05:00:00,cargojet,1.4,1.7,1.0,0.49,73,100,25.6,37.4,1008.6,999.5,100,70
active,10.0,2023-12-01 06:00:00,2023-12-01 06:00:00,2023-12-01 06:10:00,jet linx aviation,1.6,0.6,0.6,0.0,53,98,25.0,40.3,1008.5,999.4,99,72
active,10.0,2023-12-01 06:00:00,2023-12-01 06:00:00,2023-12-01 06:10:00,korean air,1.6,0.6,0.6,0.0,53,98,25.0,40.3,1008.5,999.4,99,72
active,10.0,2023-12-01 06:00:00,2023-12-01 06:00:00,2023-12-01 06:10:00,qatar airways,1.6,0.6,0.6,0.0,53,98,25.0,40.3,1008.5,999.4,99,72
